60_1,,60_2,,60_3,,50_1,,50_2,,40_1,,40_2,,30_1,,30_2,,20_1,,20_2,,10_1,,10_2,,10_3,,3_1,,3_2,,3_3,,3_4,,10_1,,10up_2,,10up_3,,20up_1,,20up_2,,20up_3,,30up_1,,30up_2,,40up_1,,40up_2,,40up_3,,40up_4,,50up_1,,50up_2,,50up_3,,60up_1,,60up_2,,60up_3,,70up_1,,70up_2,,70up_3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
791,-0.0006638815976,791,0.002145829145,791,-0.001150400611,791,-0.0006537496811,791,-0.001344298245,791,-0.0003153836296,791,-0.0007894770824,791,0.001042954507,791,0.0001313393732,791,0.001207834692,791,0.0003409484634,791,0.00209845975,791,0.001124335686,791,0.0009414828965,791,0.002368021058,791,0.001655972213,791,0.00265043322,791,0.002815586282,791,0.05271017551,791,0.001314976835,791,0.001172221731,791,0.001351899933,791,0.001131135388,791,0.001287221676,791,0.0004337806313,791,0.0004990833695,791,0.0002658525773,791,-0.0001882537326,791,-8.329306002E-5,791,-0.0001699857676,791,-0.0006005532341,791,-0.0006714286865,791,-0.001124324161,791,-0.001347911078,791,-0.001476404723,791,-0.002086050576,791,-0.002794543514,791,-0.002889851341,791,-0.002930580871,
790,-0.0007523707463,790,0.001860859222,790,-0.001161553664,790,-0.000745031808,790,-0.001525418367,790,-0.0003465265909,790,-0.0008862590184,790,0.0009673220338,790,4.126419299E-5,790,0.001108660246,790,0.0003419329005,790,0.001881189412,790,0.00100141333,790,0.0007985132979,790,0.002125746571,790,0.00151079311,790,0.002747589722,790,0.002745714039,790,0.05266026035,790,0.001269255881,790,0.001104663708,790,0.001120754168,790,0.0010149054,790,0.001294024056,790,0.0003779442341,790,0.0005362222437,790,0.000241816364,790,-9.405942546E-5,790,-0.000170141022,790,-0.0001638790272,790,-0.0007128836587,790,-0.0008558264235,790,-0.001327627338,790,-0.001364684547,790,-0.001564522157,790,-0.002186922589,790,-0.002908570925,790,-0.002911399351,790,-0.003057373222,
789,-0.0005153426318,789,0.001919616596,789,-0.001084974152,789,-0.0005575880641,789,-0.001360297669,789,-0.0002850662568,789,-0.0007477193139,789,0.001055902801,789,0.0002598175197,789,0.001267750049,789,0.0004575424537,789,0.001970216865,789,0.001028112369,789,0.0009722513496,789,0.002428044565,789,0.00176647387,789,0.002774344292,789,0.002742171288,789,0.05265143514,789,0.001351094921,789,0.00121611543,789,0.001311030239,789,0.001116238418,789,0.001344499411,789,0.0006450912333,789,0.0005582789308,789,0.0003668296267,789,2.751765533E-5,789,-8.355186583E-5,789,-0.000102548096,789,-0.0005229957169,789,-0.0007009954425,789,-0.001118850429,789,-0.001363445888,789,-0.001408498734,789,-0.002037666971,789,-0.002736721421,789,-0.002729004249,789,-0.002950172871,
788,-0.0005633790279,788,0.001772140036,788,-0.00098864967,788,-0.0006651222357,788,-0.001382231363,788,-0.0002953102521,788,-0.0007791930111,788,0.001039166003,788,0.0001398844179,788,0.001220138976,788,0.0002723021898,788,0.001967434539,788,0.001048792852,788,0.0008198571741,788,0.002373278607,788,0.001623128541,788,0.002760875504,788,0.002829082543,788,0.05244368315,788,0.001290415181,788,0.00121655676,788,0.001310251304,788,0.001160282176,788,0.001466064365,788,0.0008015215863,788,0.000526295742,788,0.0003531505063,788,1.959612018E-5,788,-0.0001696235122,788,-5.948188118E-5,788,-0.0005752709694,788,-0.0006692575989,788,-0.001138421125,788,-0.001375728869,788,-0.001553843729,788,-0.002078115707,788,-0.00281270151,788,-0.00278343237,788,-0.002965136198,
787,-0.0006276433705,787,0.001825530548,787,-0.0009908708744,787,-0.0005205653142,787,-0.001418716274,787,-0.0001080863512,787,-0.0008000708767,787,0.0009634305025,787,0.0001646141754,787,0.001081099967,787,0.0004322518362,787,0.001974637387,787,0.001108296914,787,0.0008939335239,787,0.00241341535,787,0.00168473844,787,0.002723207464,787,0.002846409567,787,0.05247306824,787,0.001367583987,787,0.001225824002,787,0.001515053213,787,0.001218477613,787,0.001450376702,787,0.0007869470865,787,0.000677264703,787,0.0003952773695,787,2.029507414E-5,787,-6.874769315E-5,787,-9.623336518E-5,787,-0.0004766096827,787,-0.0005843190011,787,-0.001057344372,787,-0.001399209956,787,-0.001427282346,787,-0.002070747549,787,-0.002857552841,787,-0.002748708241,787,-0.00293634017,
786,-0.000609290495,786,0.001507338253,786,-0.0009647331899,786,-0.0006699296064,786,-0.001392810838,786,-0.0001692094957,786,-0.000810767815,786,0.0009959129384,786,4.012343652E-6,786,0.001150964294,786,0.0003013395471,786,0.001943927957,786,0.001022300217,786,0.0008575940738,786,0.002360473154,786,0.001630195999,786,0.002725786297,786,0.002818843117,786,0.05218856409,786,0.00136986922,786,0.001156051527,786,0.001372102415,786,0.001082501374,786,0.001334502595,786,0.0007834979915,786,0.0005426499411,786,0.0003363630676,786,-0.0001167300288,786,-0.000130497443,786,-0.00012501124,786,-0.0006778901443,786,-0.0007390364772,786,-0.001251386828,786,-0.001317097922,786,-0.00158108084,786,-0.002032823162,786,-0.002870256547,786,-0.002868405078,786,-0.003030948341,
785,-0.0004816777364,785,0.001447311952,785,-0.0008536562673,785,-0.0005864388077,785,-0.001432442572,785,-0.0001932734012,785,-0.0008843473624,785,0.001066282508,785,0.0001240632846,785,0.0011277874,785,0.0003000961442,785,0.001944395946,785,0.001076688408,785,0.0009659210336,785,0.00246269349,785,0.001731334836,785,0.002696638461,785,0.002730110427,785,0.05215803161,785,0.00133029616,785,0.001069526188,785,0.001408277196,785,0.001108037424,785,0.00121414254,785,0.0008236177382,785,0.0004677523975,785,0.0002540933201,785,-0.0001772826945,785,-0.0001375362481,785,-0.0001245971798,785,-0.0006960850442,785,-0.0007968669524,785,-0.001224696985,785,-0.001382541028,785,-0.00151675113,785,-0.002082598396,785,-0.00292662112,785,-0.002857861575,785,-0.002960302634,
784,-0.0006744267885,784,0.001158205792,784,-0.001058790484,784,-0.0006753572379,784,-0.00151339767,784,-0.0003326108272,784,-0.0008926655864,784,0.0009456595872,784,0.0001232087961,784,0.001004708465,784,0.0003208197304,784,0.001856881659,784,0.001006939798,784,0.0009085375932,784,0.00223894394,784,0.001562488731,784,0.002677884884,784,0.002805321012,784,0.05207024142,784,0.001358469483,784,0.001120183151,784,0.001351899933,784,0.001098045963,784,0.001274448237,784,0.0007956346963,784,0.0005142184091,784,0.0003897327697,784,-0.0002052789787,784,-0.0002006216819,784,-0.0002068831527,784,-0.0007931978325,784,-0.0008077189559,784,-0.001160417683,784,-0.001436157851,784,-0.001626575366,784,-0.002140147146,784,-0.002846546238,784,-0.002978710691,784,-0.003142086556,
783,-0.000663933286,783,0.00109223288,783,-0.001054813736,783,-0.0006489420775,783,-0.001371238846,783,-0.0001728321076,783,-0.0007663247525,783,0.001055954723,783,0.0001273258531,783,0.001158309518,783,0.0004122743558,783,0.001928066951,783,0.001195115503,783,0.0009799308609,783,0.002379629528,783,0.001667379751,783,0.00276949862,783,0.002927269554,783,0.05198961496,783,0.001487493049,783,0.001208094298,783,0.001442377223,783,0.001226447057,783,0.001304097823,783,0.0008440291858,783,0.0005010011373,783,0.0004433681315,783,1.535064985E-5,783,-0.0001372257248,783,-4.830053149E-5,783,-0.000644496351,783,-0.0007229108014,783,-0.00109401159,783,-0.001362465322,783,-0.001448129071,783,-0.002044056542,783,-0.002817536704,783,-0.002879411215,783,-0.003029149026,
782,-0.0007101442316,782,0.0009998566238,782,-0.001053264365,782,-0.0008034298662,782,-0.001450193115,782,-0.0002453814086,782,-0.0008496259688,782,0.0008498389507,782,8.579457062E-5,782,0.001103703515,782,0.0002694788564,782,0.001914416556,782,0.00102707441,782,0.0007651639753,782,0.00237697456,782,0.001576855546,782,0.00268103648,782,0.002777861198,782,0.05180944875,782,0.001340189134,782,0.001142295543,782,0.001248253277,782,0.001018511946,782,0.001332944608,782,0.0007266312605,782,0.0005176912528,782,0.000257667707,782,-0.0001130034361,782,-0.0001205083463,782,-0.0002245286159,782,-0.0005976579851,782,-0.0008159870049,782,-0.001238635858,782,-0.001394617022,782,-0.001616878551,782,-0.002044468885,782,-0.002930118004,782,-0.002945082029,782,-0.003018969204,
